"ID","Nretwitted","Nretweets"
"sostiti",1,0
"OIconversa",8,3
"DictadoresSA",2,0
"Orion3711N335O",0,2
"JCLAUDIO74",1,0
"estudiarcursos",0,1
"OIenAlicante",5,0
"MAITELEAN",0,5
"ForbesFlauta",9,0
"Guim_Marta",0,1
"feliperecto",1,0
"FranciscoJosGon",0,1
"defotoenfoto",1,0
"naylabuccolini",0,1
"Maskuko",2,0
"Guardiaoscura",0,1
"keyser_soce",0,1
"DrewAMG46",0,1
"marple_j",0,1
"TJungpa",4,3
"Rbarahona77",4,2
"MacaRomeroAl",0,1
"SoyActivista",0,1
"vvilanovag",0,1
"Saludporderecho",0,1
"LaraContra",2,2
"OIenDonostia",0,1
"Rmnhrrcrsp",0,1
"tempoecu",0,1
"GAFOLITO",0,1
"evitagarzon",0,1
"JairoFM",0,2
"Angel21600muoz",0,1
"OIenMurcia",5,0
"bernalalarcon1",0,7
"OxfamIntermon",10,0
"carmencarazo",0,7
"ampl48",0,1
"PeZaFi",0,1
"OIenSevilla",1,0
"OIenCastellon",0,2
"OIaCat",1,0
"Roger_Riera",0,1
"JoseLuisGarciaQ",0,1
"ForoFamilia",1,0
"Derechoalavida",0,1
